PERMNO,date,TICKER,COMNAM,CUSIP,PRC
59328,20151030,INTC,INTEL CORP,45814010,33.86
59328,20151130,INTC,INTEL CORP,45814010,34.77
59328,20151231,INTC,INTEL CORP,45814010,34.45
59328,20160129,INTC,INTEL CORP,45814010,31.02
59328,20160229,INTC,INTEL CORP,45814010,29.59
59328,20160331,INTC,INTEL CORP,45814010,32.35
59328,20160429,INTC,INTEL CORP,45814010,30.28
59328,20160531,INTC,INTEL CORP,45814010,31.59
59328,20160630,INTC,INTEL CORP,45814010,32.8
59328,20160729,INTC,INTEL CORP,45814010,34.86
59328,20160831,INTC,INTEL CORP,45814010,35.89
59328,20160930,INTC,INTEL CORP,45814010,37.75
59328,20161031,INTC,INTEL CORP,45814010,34.87
59328,20161130,INTC,INTEL CORP,45814010,34.7
59328,20161230,INTC,INTEL CORP,45814010,36.27
59328,20170131,INTC,INTEL CORP,45814010,36.82
59328,20170228,INTC,INTEL CORP,45814010,36.2
59328,20170331,INTC,INTEL CORP,45814010,36.07
59328,20170428,INTC,INTEL CORP,45814010,36.15
59328,20170531,INTC,INTEL CORP,45814010,36.11
59328,20170630,INTC,INTEL CORP,45814010,33.74
59328,20170731,INTC,INTEL CORP,45814010,35.47
59328,20170831,INTC,INTEL CORP,45814010,35.07
59328,20170929,INTC,INTEL CORP,45814010,38.08
59328,20171031,INTC,INTEL CORP,45814010,45.49
59328,20171130,INTC,INTEL CORP,45814010,44.84
59328,20171229,INTC,INTEL CORP,45814010,46.16
59328,20180131,INTC,INTEL CORP,45814010,48.14
59328,20180228,INTC,INTEL CORP,45814010,49.29
59328,20180329,INTC,INTEL CORP,45814010,52.08
59328,20180430,INTC,INTEL CORP,45814010,51.62
59328,20180531,INTC,INTEL CORP,45814010,55.2
59328,20180629,INTC,INTEL CORP,45814010,49.71
59328,20180731,INTC,INTEL CORP,45814010,48.1
59328,20180831,INTC,INTEL CORP,45814010,48.43
59328,20180928,INTC,INTEL CORP,45814010,47.29
59328,20181031,INTC,INTEL CORP,45814010,46.88
59328,20181130,INTC,INTEL CORP,45814010,49.31
59328,20181231,INTC,INTEL CORP,45814010,46.93
59328,20190131,INTC,INTEL CORP,45814010,47.12
59328,20190228,INTC,INTEL CORP,45814010,52.96
59328,20190329,INTC,INTEL CORP,45814010,53.7
59328,20190430,INTC,INTEL CORP,45814010,51.04
59328,20190531,INTC,INTEL CORP,45814010,44.04
59328,20190628,INTC,INTEL CORP,45814010,47.87
59328,20190731,INTC,INTEL CORP,45814010,50.55
59328,20190830,INTC,INTEL CORP,45814010,47.41
59328,20190930,INTC,INTEL CORP,45814010,51.53
59328,20191031,INTC,INTEL CORP,45814010,56.53
59328,20191129,INTC,INTEL CORP,45814010,58.05
59328,20191231,INTC,INTEL CORP,45814010,59.85
60871,20070131,ADI,ANALOG DEVICES INC,3265410,32.75
60871,20070228,ADI,ANALOG DEVICES INC,3265410,36.31
60871,20070330,ADI,ANALOG DEVICES INC,3265410,34.49
60871,20070430,ADI,ANALOG DEVICES INC,3265410,38.62
60871,20070531,ADI,ANALOG DEVICES INC,3265410,36.21
60871,20070629,ADI,ANALOG DEVICES INC,3265410,37.64
60871,20070731,ADI,ANALOG DEVICES INC,3265410,35.45
60871,20070831,ADI,ANALOG DEVICES INC,3265410,36.88
60871,20070928,ADI,ANALOG DEVICES INC,3265410,36.16
60871,20071031,ADI,ANALOG DEVICES INC,3265410,33.46
60871,20071130,ADI,ANALOG DEVICES INC,3265410,30.78
60871,20071231,ADI,ANALOG DEVICES INC,3265410,31.7
60871,20080131,ADI,ANALOG DEVICES INC,3265410,28.36
60871,20080229,ADI,ANALOG DEVICES INC,3265410,26.92
60871,20080331,ADI,ANALOG DEVICES INC,3265410,29.52
60871,20080430,ADI,ANALOG DEVICES INC,3265410,32.21
60871,20080530,ADI,ANALOG DEVICES INC,3265410,35.11
60871,20080630,ADI,ANALOG DEVICES INC,3265410,31.77
60871,20080731,ADI,ANALOG DEVICES INC,3265410,30.51
60871,20080829,ADI,ANALOG DEVICES INC,3265410,27.96
60871,20080930,ADI,ANALOG DEVICES INC,3265410,26.35
60871,20081031,ADI,ANALOG DEVICES INC,3265410,21.36
60871,20081128,ADI,ANALOG DEVICES INC,3265410,17.1
60871,20081231,ADI,ANALOG DEVICES INC,3265410,19.02
60871,20090130,ADI,ANALOG DEVICES INC,3265410,19.98
60871,20090227,ADI,ANALOG DEVICES INC,3265410,18.64
60871,20090331,ADI,ANALOG DEVICES INC,3265410,19.27
60871,20090430,ADI,ANALOG DEVICES INC,3265410,21.28
60871,20090529,ADI,ANALOG DEVICES INC,3265410,24.41
60871,20090630,ADI,ANALOG DEVICES INC,3265410,24.78
60871,20090731,ADI,ANALOG DEVICES INC,3265410,27.37
